UNIT ACTIVE
accounts-daemon.service active
atd.service active
auditd.service active
avahi-daemon.service active
chronyd.service active
colord.service active
crond.service active
cups.service active
dbus.service active
dracut-shutdown.service active
fwupd.service active
gdm.service active
gssproxy.service active
httpd.service active
import-state.service active
irqbalance.service active
iscsi-shutdown.service active
kdump.service active
kmod-static-nodes.service active
ksm.service active
ksmtuned.service active
libstoragemgmt.service active
lvm2-monitor.service active
lvm2-pvscan@8:2.service active
mcelog.service active
ModemManager.service active
named.service active
NetworkManager-wait-online.service active
NetworkManager.service active
nis-domainname.service active
packagekit.service active
plymouth-quit-wait.service active
plymouth-read-write.service active
plymouth-start.service active
polkit.service active
rpc-statd-notify.service active
rpcbind.service active
rsyslog.service active
rtkit-daemon.service active
sendmail.service active
sm-client.service active
smartd.service active
sshd.service active
sssd-kcm.service active
systemd-journal-flush.service active
systemd-journald.service active
systemd-logind.service active
● loaded
systemd-random-seed.service active
systemd-remount-fs.service active
systemd-sysctl.service active
systemd-tmpfiles-setup-dev.service active
systemd-tmpfiles-setup.service active
systemd-udev-settle.service active
systemd-udev-trigger.service active
systemd-udevd.service active
systemd-update-utmp.service active
systemd-user-sessions.service active
tuned.service active
udisks2.service active
upower.service active
user-runtime-dir@0.service active
user@0.service active
vdo.service active
vgauthd.service active
vmtoolsd.service active
wpa_supplicant.service active
xrdp-sesman.service active
xrdp.service active
 
